arrival_id,crop_id,district_id,market_id,variety,arrival_tonnes,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,arrival_date
1,1,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
2,2,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
3,3,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
4,4,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
5,5,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
6,6,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
7,7,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
8,8,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
9,9,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
10,10,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
11,11,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
12,12,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
13,13,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
14,14,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
15,15,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
16,16,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
17,17,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
18,18,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
19,19,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
20,20,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
21,21,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
22,22,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
23,23,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
24,24,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
25,25,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
26,26,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
27,27,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
28,28,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
29,29,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
30,30,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
31,31,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
32,32,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
33,33,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
34,34,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
35,35,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
36,36,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
37,37,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
38,38,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
39,39,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
40,40,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
41,41,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
42,42,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
43,43,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
44,44,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
45,45,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
46,46,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
47,47,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
48,48,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
49,49,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
50,50,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
51,51,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
52,52,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
53,53,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
54,54,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
55,55,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
56,56,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
57,57,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
58,58,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
59,59,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
60,60,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
61,61,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
62,62,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
63,63,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
64,64,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
65,65,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
66,66,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
67,67,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
68,68,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
69,69,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
70,70,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
71,71,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
72,72,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
73,73,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
74,74,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
75,75,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
76,76,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
77,77,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
78,78,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
79,79,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
80,80,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
81,81,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
82,82,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
83,83,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
84,84,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
