crop_id,district_id ,avg_yield,total_area,best_season
1,1,1.64354067,1254,Kharif
2,2,1.655802862,1258,Whole Year
3,3,1.209357653,1261,Whole Year
4,4,1.69,3100,Kharif
5,5,1.696296296,3105,Whole Year
6,6,1.661962797,3118,Whole Year
7,7,6,213,Whole Year
8,8,6.627819549,266,Whole Year
9,9,7.140419948,1524,Whole Year
10,10,7.554248366,1530,Whole Year
11,11,0.214285714,63,Whole Year
12,12,0.210066225,75.5,Whole Year
13,13,0.210472279,487,Whole Year
14,14,0.21,497,Whole Year
15,15,0.267037552,719,Whole Year
16,16,0.289290682,719,Whole Year
17,17,0.290794979,717,Whole Year
18,18,0.407407407,81,Whole Year
19,19,0.296296296,81,Whole Year
20,20,0.224377682,116.5,Whole Year
21,21,3542.056075,18190,Whole Year
22,22,3700.109649,18240,Whole Year
23,23,3750.66859,18284.74,Whole Year
24,24,3599.429793,7015,Whole Year
25,25,3800.283286,7060,Whole Year
26,26,3749.648383,7110,Whole Year
27,27,0.069733656,413,Whole Year
28,28,1.7,60,Whole Year
29,29,0.087447699,239,Whole Year
30,30,1.7,340,Whole Year
31,31,2.173913043,46,Whole Year
32,32,2.811839323,47.3,Whole Year
33,33,3.2,102,Whole Year
34,34,3.26744186,344,Whole Year
35,35,3.252840909,352,Whole Year
36,36,3.2,406,Whole Year
37,37,0.5,2,Kharif
38,38,0.476076555,418,Kharif
39,39,0.071428571,4.2,Whole Year
40,40,0.473678026,85.1,Whole Year
41,41,0.432574004,82.09,Whole Year
42,42,3.614457831,83,Kharif
43,43,2.7,189.2,Kharif
44,44,1.734038462,52,Kharif
45,45,2.781745215,9718,Kharif
46,46,2.954507377,10695.8,Kharif
47,47,2.926978306,10509.37,Kharif
48,48,1,1,Whole Year
49,49,8,5,Whole Year
50,50,29.37037037,81,Whole Year
51,51,30.24175824,455,Whole Year
52,52,10.74447761,268,Whole Year
53,53,3,11,Whole Year
54,54,0.05,100,Whole Year
55,55,1.673151751,257,Whole Year
56,56,1.441064639,263,Whole Year
57,57,0.710526316,266,Whole Year
58,58,1.714285714,7,Whole Year
59,59,1.428571429,7,Whole Year
60,60,0.666666667,6,Whole Year
61,61,1.75,4,Whole Year
62,62,1.444444444,18,Whole Year
63,63,0.722222222,18,Whole Year
64,64,1.5,8,Whole Year
65,65,0.75,12,Whole Year
66,66,0.666666667,9,Whole Year
67,67,0.468989021,38438,Kharif
68,68,0.469325153,652,Rabi
69,69,0.245002575,40771,Kharif
70,70,0.245502646,945,Rabi
71,71,0.346000573,38393,Kharif
72,72,0.345669874,1351,Rabi
73,73,0.272994059,27942,Kharif
74,74,0.2,5,Rabi
75,75,0.196000478,33454,Kharif
76,76,0.168998009,41178,Kharif
77,77,0.171016102,5403,Kharif
78,78,0.106977875,4113,Kharif
79,79,0.117647059,17,Rabi
80,80,0.075035394,8476,Kharif
81,81,0.1,10,Rabi
82,82,0.582887701,1309,Kharif
83,83,0.349934469,763,Kharif
84,84,0.423076923,1274,Kharif
85,85,0.76200801,39203,Kharif
86,86,0.762337662,770,Rabi
87,87,0.515004272,37456,Kharif
88,88,0.5152207,1314,Rabi
89,89,0.521987066,34020,Kharif
90,90,0.522309711,762,Rabi
91,91,0.592005971,12059,Kharif
92,92,0.597014925,67,Rabi
93,93,0.162985672,15983,Kharif
94,94,0.166666667,36,Rabi
95,95,0.304014327,29594,Kharif
96,96,0.306666667,75,Rabi
97,97,0.529905981,4999,Kharif
98,98,0.530701754,684,Rabi
99,99,0.246072508,6620,Kharif
100,100,0.24609375,512,Rabi
101,101,0.423978154,11352,Kharif
102,102,0.424071991,889,Rabi
103,103,0.475011899,21010,Kharif
104,104,0.475590551,635,Rabi
105,105,0.417007526,24448,Kharif
106,106,0.416988417,777,Rabi
107,107,0.528002468,29176,Kharif
108,108,0.528423773,774,Rabi
109,109,0.638060669,7714,Kharif
110,110,0.6375,80,Rabi
111,111,0.463030303,7425,Kharif
112,112,0.46031746,126,Rabi
113,113,0.659987542,9632,Kharif
114,114,0.382006506,26743,Kharif
115,115,0.382045929,958,Rabi
116,116,0.420008281,31397,Kharif
117,117,0.419614148,622,Rabi
118,118,0.405991612,33380,Kharif
119,119,0.406091371,197,Rabi
120,120,0.283002813,57586,Kharif
121,121,0.285714286,7,Rabi
122,122,0.414994484,58008,Kharif
123,123,0.399003405,60205,Kharif
124,124,0.5,2,Rabi
125,125,0.513995567,19399,Kharif
126,126,0.324018207,18894,Kharif
127,127,0.318181818,44,Rabi
128,128,0.518995073,24559,Kharif
129,129,0.571428571,7,Rabi
130,130,0.262021505,23250,Kharif
131,131,0.260869565,391,Rabi
132,132,0.211986191,24912,Kharif
133,133,0.211781206,713,Rabi
134,134,0.509008401,37021,Kharif
135,135,0.50867052,865,Rabi
136,136,0.216061185,2615,Kharif
137,137,0.225,40,Rabi
138,138,0.373752495,2004,Kharif
139,139,0,1,Rabi
140,140,0.335950413,2420,Kharif
141,141,0.333333333,9,Rabi
142,142,0.48099239,60581,Kharif
143,143,0.48125937,667,Rabi
