stat_id,crop_id,district_id,season,area,production,yield
1,1,1,Kharif,1254,1254,1254
2,2,2,Whole Year,1254,1254,1254
3,3,3,Whole Year,1254,1254,1254
4,4,4,Kharif,1254,1254,1254
5,5,5,Whole Year,1254,1254,1254
6,6,6,Whole Year,1254,1254,1254
7,7,7,Whole Year,1254,1254,1254
8,8,8,Whole Year,1254,1254,1254
9,9,9,Whole Year,1254,1254,1254
10,10,10,Whole Year,1254,1254,1254
11,11,11,Whole Year,1254,1254,1254
12,12,12,Whole Year,1254,1254,1254
13,13,13,Whole Year,1254,1254,1254
14,14,14,Whole Year,1254,1254,1254
15,15,15,Whole Year,1254,1254,1254
16,16,16,Whole Year,1254,1254,1254
17,17,17,Whole Year,1254,1254,1254
18,18,18,Whole Year,1254,1254,1254
19,19,19,Whole Year,1254,1254,1254
20,20,20,Whole Year,1254,1254,1254
21,21,21,Whole Year,1254,1254,1254
22,22,22,Whole Year,1254,1254,1254
23,23,23,Whole Year,1254,1254,1254
24,24,24,Whole Year,1254,1254,1254
25,25,25,Whole Year,1254,1254,1254
26,26,26,Whole Year,1254,1254,1254
27,27,27,Whole Year,1254,1254,1254
28,28,28,Whole Year,1254,1254,1254
29,29,29,Whole Year,1254,1254,1254
30,30,30,Whole Year,1254,1254,1254
31,31,31,Whole Year,1254,1254,1254
32,32,32,Whole Year,1254,1254,1254
33,33,33,Whole Year,1254,1254,1254
34,34,34,Whole Year,1254,1254,1254
35,35,35,Whole Year,1254,1254,1254
36,36,36,Whole Year,1254,1254,1254
37,37,37,Kharif,1254,1254,1254
38,38,38,Kharif,1254,1254,1254
39,39,39,Whole Year,1254,1254,1254
40,40,40,Whole Year,1254,1254,1254
41,41,41,Whole Year,1254,1254,1254
42,42,42,Kharif,1254,1254,1254
43,43,43,Kharif,1254,1254,1254
44,44,44,Kharif,1254,1254,1254
45,45,45,Kharif,1254,1254,1254
46,46,46,Kharif,1254,1254,1254
47,47,47,Kharif,1254,1254,1254
48,48,48,Whole Year,1254,1254,1254
49,49,49,Whole Year,1254,1254,1254
50,50,50,Whole Year,1254,1254,1254
51,51,51,Whole Year,1254,1254,1254
52,52,52,Whole Year,1254,1254,1254
53,53,53,Whole Year,1254,1254,1254
54,54,54,Whole Year,1254,1254,1254
55,55,55,Whole Year,1254,1254,1254
56,56,56,Whole Year,1254,1254,1254
57,57,57,Whole Year,1254,1254,1254
58,58,58,Whole Year,1254,1254,1254
59,59,59,Whole Year,1254,1254,1254
60,60,60,Whole Year,1254,1254,1254
61,61,61,Whole Year,1254,1254,1254
62,62,62,Whole Year,1254,1254,1254
63,63,63,Whole Year,1254,1254,1254
64,64,64,Whole Year,1254,1254,1254
65,65,65,Whole Year,1254,1254,1254
66,66,66,Whole Year,1254,1254,1254
67,67,67,Kharif,1254,1254,1254
68,68,68,Rabi,1254,1254,1254
69,69,69,Kharif,1254,1254,1254
70,70,70,Rabi,1254,1254,1254
71,71,71,Kharif,1254,1254,1254
72,72,72,Rabi,1254,1254,1254
73,73,73,Kharif,1254,1254,1254
74,74,74,Rabi,1254,1254,1254
