weather _id,district_id,MaxT,MinT,WindSpeed,Humidity ,Precipitation
1,1,29.5,21.8,1.6,70.2,0
2,2,30.1,21,1.6,67.4,0
3,3,29.9,21.1,1.7,65.2,0
4,4,29.8,20.8,1.5,69,0
5,5,29.6,20.5,2.1,69.5,0
6,6,29.7,19.8,2.1,62.6,0
7,7,29.7,19.7,2.1,62.5,0
8,8,29.4,19.9,1.8,67.3,0
9,9,30.3,19.9,1.3,66.4,0
10,10,31,20.7,1.3,67.7,0
11,11,31.5,20.6,1.4,68.9,0
12,12,32.1,20.4,1.6,61.2,0
13,13,33.9,20.9,1.7,58.3,0
14,14,32.7,21,1.4,57.3,0
15,15,33.2,20.4,2,61.1,0
16,16,33,21.1,2.5,49.2,0
17,17,31.4,20.9,2.3,52.6,0
18,18,29,20.2,2.5,57.1,0
19,19,27,19.6,1.8,56.3,0
20,20,29.3,18.1,2.3,57.8,0
21,21,29.3,16.8,2.1,56.6,0
22,22,29.8,17.7,1.9,55.9,0
23,23,29.7,18.5,2,53.3,0
24,24,30.5,19.9,1.9,61.2,0
25,25,30.3,19.5,1.8,65.9,0
26,26,30.2,19.9,2,62.9,0
27,27,31.1,19.2,2.7,63.1,0
28,28,32,20,1.9,55.9,0
29,29,32.1,19.3,1.8,55.4,0
30,30,31,20.1,1.9,60.4,0
31,31,30.9,19.8,1.8,51.2,0
32,32,30.2,19.7,1.8,53.7,0
33,33,29.6,19.9,2,55.1,0
34,34,31.2,19.6,2.2,53,0
35,35,32.2,20.1,2.1,57.3,0
36,36,31.3,19.8,1.8,57.3,0
37,37,31.8,19.7,1.7,54.6,0
38,38,34.1,20.6,1.7,52.9,0
39,39,33.5,20.9,1.3,56.2,0
40,40,33.4,20.4,1.8,55.1,0
41,41,32.8,21.8,1.9,58.9,0
42,42,33.1,22.6,1.9,57.4,0
43,43,33.9,22.4,1.7,54,0
44,44,33.9,22.5,2,59.9,0
45,45,34.2,21.8,1.8,58.2,0
46,46,34.7,21.9,1.7,53.3,0
47,47,34.9,21.4,2,50.9,0
