pesticide_id,district_id,COMPOUND,STATE_CODE,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE
1,1,1-Methyl Cyclopropene,41,1,,0
2,2,1-Methyl Cyclopropene,41,21,,0.1
3,3,1-Methyl Cyclopropene,41,27,,1.7
4,4,1-Methyl Cyclopropene,41,49,,0.1
5,5,1-Methyl Cyclopropene,41,55,,0
6,6,1-Methyl Cyclopropene,41,59,,5.7
7,7,1-Methyl Cyclopropene,41,61,,0
8,8,1-Methyl Cyclopropene,41,63,,0
9,9,1-Methyl Cyclopropene,41,65,,0.1
10,10,1-Methyl Cyclopropene,53,1,,10.6
11,11,1-Methyl Cyclopropene,53,3,0,0
12,12,1-Methyl Cyclopropene,53,5,31.5,31.5
13,13,1-Methyl Cyclopropene,53,7,13.5,13.5
14,14,1-Methyl Cyclopropene,53,9,0.1,0.1
15,15,1-Methyl Cyclopropene,53,11,0.2,0.2
16,16,1-Methyl Cyclopropene,53,13,0.1,0.1
17,17,1-Methyl Cyclopropene,53,15,0.1,0.1
18,18,1-Methyl Cyclopropene,53,17,,18.4
19,19,1-Methyl Cyclopropene,53,19,,0.2
20,20,1-Methyl Cyclopropene,53,21,,21.4
21,21,1-Methyl Cyclopropene,53,23,0.1,0.1
22,22,1-Methyl Cyclopropene,53,25,,83.6
23,23,1-Methyl Cyclopropene,53,27,0,0
24,24,1-Methyl Cyclopropene,53,29,0,0
25,25,1-Methyl Cyclopropene,53,31,0.1,0.1
26,26,1-Methyl Cyclopropene,53,33,0.3,0.3
27,27,1-Methyl Cyclopropene,53,35,0.1,0.1
28,28,1-Methyl Cyclopropene,53,37,0.6,0.6
29,29,1-Methyl Cyclopropene,53,39,0.6,0.6
30,30,1-Methyl Cyclopropene,53,41,0.1,0.1
31,31,1-Methyl Cyclopropene,53,43,,0
32,32,1-Methyl Cyclopropene,53,45,0,0
33,33,1-Methyl Cyclopropene,53,47,39.9,39.9
34,34,1-Methyl Cyclopropene,53,49,0,0
35,35,1-Methyl Cyclopropene,53,51,,0
36,36,1-Methyl Cyclopropene,53,53,0.2,0.2
37,37,1-Methyl Cyclopropene,53,55,0.1,0.1
38,38,1-Methyl Cyclopropene,53,57,0.4,0.4
39,39,1-Methyl Cyclopropene,53,59,0,0
40,40,1-Methyl Cyclopropene,53,61,0.1,0.1
41,41,1-Methyl Cyclopropene,53,63,,0.4
42,42,1-Methyl Cyclopropene,53,65,,0.1
43,43,1-Methyl Cyclopropene,53,67,0.1,0.1
44,44,1-Methyl Cyclopropene,53,69,0,0
45,45,1-Methyl Cyclopropene,53,71,14.9,14.9
46,46,1-Methyl Cyclopropene,53,73,0.5,0.5
47,47,1-Methyl Cyclopropene,53,75,0.1,0.1
48,48,1-Methyl Cyclopropene,53,77,96.7,96.7
49,49,"2,4-D",1,1,3243.5,3363.2
50,50,"2,4-D",1,3,2178,3435.9
51,51,"2,4-D",1,5,5650.9,5825.6
52,52,"2,4-D",1,7,949.7,957.6
53,53,"2,4-D",1,9,9507.1,9591.2
54,54,"2,4-D",1,11,2670,2758.8
55,55,"2,4-D",1,13,1169.5,1305.1
56,56,"2,4-D",1,15,4405.4,4408.2
57,57,"2,4-D",1,17,3621.8,3639.9
58,58,"2,4-D",1,19,8365,8371.4
59,59,"2,4-D",1,21,2784.4,3490.1
60,60,"2,4-D",1,23,717.9,729.9
61,61,"2,4-D",1,25,582.8,587.7
62,62,"2,4-D",1,27,3063.3,3068.3
63,63,"2,4-D",1,29,2804.2,2805.2
64,64,"2,4-D",1,31,8220,8798.6
65,65,"2,4-D",1,33,3688.3,5728.1
66,66,"2,4-D",1,35,1143,1208.8
67,67,"2,4-D",1,37,1062.7,1063.5
68,68,"2,4-D",1,39,5405.5,5692.1
69,69,"2,4-D",1,41,4735.6,4913
70,70,"2,4-D",1,43,12541.6,12547.8
71,71,"2,4-D",1,45,3730,3909.2
72,72,"2,4-D",1,47,6317.6,6808.5
73,73,"2,4-D",1,49,15611.7,15635.4
74,74,"2,4-D",1,51,3437.8,3637
75,75,"2,4-D",1,53,1396.2,1827.1
76,76,"2,4-D",1,55,5752.6,5754.9
77,77,"2,4-D",1,57,2423,2474.2
78,78,"2,4-D",1,59,4213.4,4532
79,79,"2,4-D",1,61,7227.7,7745.4
80,80,"2,4-D",1,63,2121.1,2221.2
81,81,"2,4-D",1,65,4568.2,4785.9
82,82,"2,4-D",1,67,5538.4,5835.3
83,83,"2,4-D",1,69,6863.1,7072.8
84,84,"2,4-D",1,71,14902.3,14905.2
85,85,"2,4-D",1,73,977.2,982.9
86,86,"2,4-D",1,75,1515.7,1547.9
87,87,"2,4-D",1,77,5281.8,7979.7
88,88,"2,4-D",1,79,5770.9,9291.6
89,89,"2,4-D",1,81,1914.4,1919.9
90,90,"2,4-D",1,83,4590.7,10488.7
91,91,"2,4-D",1,85,7526.5,7789
92,92,"2,4-D",1,87,2267.4,2385.8
93,93,"2,4-D",1,89,3825.7,8398.4
94,94,"2,4-D",1,91,4005,4232
95,95,"2,4-D",1,93,2555,2683.9
96,96,"2,4-D",1,95,10491.6,10494.9
97,97,"2,4-D",1,97,1518.3,1811.5
98,98,"2,4-D",1,99,1405.3,1573
99,99,"2,4-D",1,101,7738.5,7957.3
100,100,"2,4-D",1,103,4030.9,4778.9
101,101,"2,4-D",1,105,3976.3,4393.7
102,102,"2,4-D",1,107,2669.4,2733.4
103,103,"2,4-D",1,109,6297,6542.4
104,104,"2,4-D",1,111,4387.4,4430.3
105,105,"2,4-D",1,113,3565,3684.5
106,106,"2,4-D",1,115,3558.8,3560.3
107,107,"2,4-D",1,117,2464.4,2506.5
108,108,"2,4-D",1,119,4558.9,4676.5
109,109,"2,4-D",1,121,3990.6,4182.8
110,110,"2,4-D",1,123,1946.1,1967.7
111,111,"2,4-D",1,125,2753.7,2822.2
112,112,"2,4-D",1,127,1705,1725.9
113,113,"2,4-D",1,129,1020.7,1073.8
114,114,"2,4-D",1,131,1911.4,1994
115,115,"2,4-D",1,133,1766.7,1776.5
116,116,"2,4-D",4,1,4778.9,4779.3
117,117,"2,4-D",4,3,348.8,497.9
118,118,"2,4-D",4,5,5440.4,5440.5
119,119,"2,4-D",4,7,12.7,12.8
120,120,"2,4-D",4,9,333.5,550.3
121,121,"2,4-D",4,11,0.9,27
122,122,"2,4-D",4,12,280.3,1511.8
123,123,"2,4-D",4,13,1831.1,1867.4
124,124,"2,4-D",4,15,1084.9,1088.7
125,125,"2,4-D",4,17,357.3,358.1
126,126,"2,4-D",4,19,333.7,348.1
127,127,"2,4-D",4,21,3048.1,3204.7
128,128,"2,4-D",4,23,15,53.9
129,129,"2,4-D",4,25,761.3,762.7
130,130,"2,4-D",4,27,1411.9,1412.6
131,131,"2,4-D",5,1,2675.1,33563.1
132,132,"2,4-D",5,3,13452.7,14860.1
133,133,"2,4-D",5,5,2235.6,2235.6
134,134,"2,4-D",5,7,1676.3,1722.9
135,135,"2,4-D",5,9,1624.4,1625.9
136,136,"2,4-D",5,11,867.2,867.2
137,137,"2,4-D",5,13,673.4,673.4
138,138,"2,4-D",5,15,1591.8,1592.4
139,139,"2,4-D",5,17,36727.7,39056.1
140,140,"2,4-D",5,19,5151,5151
141,141,"2,4-D",5,21,4219.6,6313.9
142,142,"2,4-D",5,23,3200.9,3202.4
143,143,"2,4-D",5,25,1181.7,1181.7
144,144,"2,4-D",5,27,2176.7,2176.7
145,145,"2,4-D",5,29,9947.1,13037.2
146,146,"2,4-D",5,31,3453.4,5837.7
147,147,"2,4-D",5,33,2384.6,2943.1
148,148,"2,4-D",5,35,3969.9,39144.8
149,149,"2,4-D",5,37,2598.1,29526.7
150,150,"2,4-D",5,39,826.8,826.8
151,151,"2,4-D",5,41,35928.7,36443.7
152,152,"2,4-D",5,43,8662.2,10750.8
153,153,"2,4-D",5,45,12648.2,13642.6
154,154,"2,4-D",5,47,3741.8,3816.1
155,155,"2,4-D",5,49,5458.8,5458.8
156,156,"2,4-D",5,51,2732.1,2732.1
157,157,"2,4-D",5,53,4017.4,4043.5
158,158,"2,4-D",5,55,4982.8,6183.3
159,159,"2,4-D",5,57,8633.2,8688.3
160,160,"2,4-D",5,59,4743.2,4823.4
161,161,"2,4-D",5,61,6045.8,6045.8
162,162,"2,4-D",5,63,21944.1,22410.4
163,163,"2,4-D",5,65,3979.3,3979.5
164,164,"2,4-D",5,67,4579.2,6755.8
165,165,"2,4-D",5,69,28384.4,30610.8
166,166,"2,4-D",5,71,2565.9,2629.9
167,167,"2,4-D",5,73,4453.4,8626.3
168,168,"2,4-D",5,75,11970.7,12854
169,169,"2,4-D",5,77,2198.1,29800.1
170,170,"2,4-D",5,79,18706.4,21182.1
171,171,"2,4-D",5,81,6026,8677.2
172,172,"2,4-D",5,83,4291.1,4552.8
173,173,"2,4-D",5,85,1849,25966.8
174,174,"2,4-D",5,87,1522.8,1523.7
175,175,"2,4-D",5,89,3678.1,3678.1
176,176,"2,4-D",5,91,5691.1,9524.2
177,177,"2,4-D",5,93,3061.4,8445.2
178,178,"2,4-D",5,95,2570.3,22290.5
179,179,"2,4-D",5,99,4121.9,4121.9
180,180,"2,4-D",5,101,610.7,610.7
181,181,"2,4-D",5,103,1130,1130
182,182,"2,4-D",5,105,5004.8,5264.1
183,183,"2,4-D",5,107,3051.7,42046.2
184,184,"2,4-D",5,109,3048.2,3048.2
185,185,"2,4-D",5,111,3158.7,6412.2
186,186,"2,4-D",5,113,2647.5,2647.5
187,187,"2,4-D",5,115,2934.1,3850.7
188,188,"2,4-D",5,117,1249.2,21339
189,189,"2,4-D",5,119,7644.5,11176.5
190,190,"2,4-D",5,121,19360.7,19944
191,191,"2,4-D",5,123,1749,27520.6
192,192,"2,4-D",5,125,2728.9,2755
193,193,"2,4-D",5,127,2164.2,2164.2
194,194,"2,4-D",5,129,3942.2,3942.2
195,195,"2,4-D",5,131,2574.7,2705.5
196,196,"2,4-D",5,133,4852.1,4852.1
197,197,"2,4-D",5,135,3974.9,3974.9
198,198,"2,4-D",5,137,2817.4,2817.4
199,199,"2,4-D",5,139,1877.4,1877.4
200,200,"2,4-D",5,141,2228.6,2228.6
201,201,"2,4-D",5,143,1611.3,1613.6
202,202,"2,4-D",5,145,26490.3,26932.7
203,203,"2,4-D",5,147,1754.5,25392
204,204,"2,4-D",5,149,3009.7,3359.7
205,205,"2,4-D",8,1,56743.5,56770.3
206,206,"2,4-D",8,3,1044.2,2698.9
207,207,"2,4-D",8,5,14230.6,14237.4
208,208,"2,4-D",8,7,1.1,185.4
209,209,"2,4-D",8,9,58162,58364.6
210,210,"2,4-D",8,11,5818.1,6137.4
211,211,"2,4-D",8,13,592.9,593
212,212,"2,4-D",8,14,1273,1275.7
213,213,"2,4-D",8,15,90.2,118.7
214,214,"2,4-D",8,17,46907.7,46911.6
215,215,"2,4-D",8,19,6.5,6.5
216,216,"2,4-D",8,21,434.9,1402.7
217,217,"2,4-D",8,23,40.3,1321.1
218,218,"2,4-D",8,25,1112.7,1257
219,219,"2,4-D",8,27,97.8,170.7
220,220,"2,4-D",8,29,353.8,722.4
221,221,"2,4-D",8,31,521.4,521.4
222,222,"2,4-D",8,33,1379.5,2178
223,223,"2,4-D",8,35,385,394.8
224,224,"2,4-D",8,37,135.9,167.6
225,225,"2,4-D",8,39,11951.5,12019.7
226,226,"2,4-D",8,41,347.3,370.7
227,227,"2,4-D",8,43,52.5,145.5
228,228,"2,4-D",8,45,18.6,371.3
229,229,"2,4-D",8,47,6.7,6.7
230,230,"2,4-D",8,49,275.1,293.9
231,231,"2,4-D",8,51,228.2,254.8
232,232,"2,4-D",8,53,,8.7
233,233,"2,4-D",8,55,21.1,188.8
234,234,"2,4-D",8,57,421.6,469.9
235,235,"2,4-D",8,59,19.7,19.7
236,236,"2,4-D",8,61,63379.8,63380
237,237,"2,4-D",8,63,79500.1,79521.6
238,238,"2,4-D",8,65,16.8,16.8
239,239,"2,4-D",8,67,270.1,667.2
240,240,"2,4-D",8,69,3075,3107.4
241,241,"2,4-D",8,71,2155.9,2762.6
242,242,"2,4-D",8,73,47272.7,47280
243,243,"2,4-D",8,75,37139,37201.5
244,244,"2,4-D",8,77,263,813.2
245,245,"2,4-D",8,79,1.2,1.2
246,246,"2,4-D",8,81,1221.5,4576.6
247,247,"2,4-D",8,83,697,1823.6
248,248,"2,4-D",8,85,137,847.9
249,249,"2,4-D",8,87,17981,18017.1
250,250,"2,4-D",8,89,3853.1,4201.4
251,251,"2,4-D",8,91,,67.4
252,252,"2,4-D",8,93,260.5,263.4
253,253,"2,4-D",8,95,28844.9,28855.2
254,254,"2,4-D",8,97,31.9,50.3
255,255,"2,4-D",8,99,32729.3,33186.9
256,256,"2,4-D",8,101,1484.1,1744.6
257,257,"2,4-D",8,103,678.5,765.7
258,258,"2,4-D",8,105,1187.6,3502.2
259,259,"2,4-D",8,107,730.1,1477
260,260,"2,4-D",8,109,673.6,3306.7
261,261,"2,4-D",8,113,88.4,212.4
262,262,"2,4-D",8,115,19073.6,19109.8
263,263,"2,4-D",8,117,30,30.3
264,264,"2,4-D",8,119,97.3,98
265,265,"2,4-D",8,121,72536.5,72572.1
266,266,"2,4-D",8,123,40646.5,40784.7
267,267,"2,4-D",8,125,40304.6,40349.5
268,268,"2,4-D",9,1,111.8,79.1
269,269,"2,4-D",9,3,240.3,182.4
270,270,"2,4-D",9,5,464.8,329.1
271,271,"2,4-D",9,7,108.3,78.6
272,272,"2,4-D",9,9,145.2,107.5
273,273,"2,4-D",9,11,356.3,252
274,274,"2,4-D",9,13,241,176
275,275,"2,4-D",9,15,311.8,224.8
276,276,"2,4-D",10,1,5451.5,6052
277,277,"2,4-D",10,3,3811,3837.3
278,278,"2,4-D",10,5,21429,21533.7
279,279,"2,4-D",12,1,4302,5828.1
280,280,"2,4-D",12,3,737.3,737.3
281,281,"2,4-D",12,5,240.8,240.8
282,282,"2,4-D",12,7,775.4,856.4
283,283,"2,4-D",12,9,308.3,368.2
284,284,"2,4-D",12,11,15.5,15.5
285,285,"2,4-D",12,13,2026.3,2026.3
286,286,"2,4-D",12,15,920.2,920.2
287,287,"2,4-D",12,17,1223.8,1223.8
288,288,"2,4-D",12,19,1426.8,1501.3
289,289,"2,4-D",12,21,1003.2,1161.4
290,290,"2,4-D",12,23,3498.6,4176.1
291,291,"2,4-D",12,27,2975.1,2976.6
292,292,"2,4-D",12,29,1658.5,1713.8
293,293,"2,4-D",12,31,1011.9,1024.1
294,294,"2,4-D",12,33,2996.8,2996.8
295,295,"2,4-D",12,35,912,933.7
296,296,"2,4-D",12,37,23.4,23.4
297,297,"2,4-D",12,39,1388.1,1388.1
298,298,"2,4-D",12,41,1523.7,3270
299,299,"2,4-D",12,43,12807,12950.1
300,300,"2,4-D",12,45,70.2,70.2
301,301,"2,4-D",12,47,2239.5,3137.5
302,302,"2,4-D",12,49,2350.3,2446.6
303,303,"2,4-D",12,51,37885.1,37885.1
304,304,"2,4-D",12,53,1781.1,1781.7
305,305,"2,4-D",12,55,3213.1,3447.5
306,306,"2,4-D",12,57,6527.3,7043
307,307,"2,4-D",12,59,3993.3,3993.3
308,308,"2,4-D",12,61,2422.2,2452.9
309,309,"2,4-D",12,63,12907.1,12907.1
310,310,"2,4-D",12,65,3290.8,3290.8
311,311,"2,4-D",12,67,4212.4,4642.5
312,312,"2,4-D",12,69,4116.1,4163.6
313,313,"2,4-D",12,71,600.4,608.8
314,314,"2,4-D",12,73,1219.8,1219.8
315,315,"2,4-D",12,75,3481.1,6123.4
316,316,"2,4-D",12,77,302.3,302.3
317,317,"2,4-D",12,79,4178.4,4963.4
318,318,"2,4-D",12,81,997.2,1118.2
319,319,"2,4-D",12,83,8357.1,9412.9
320,320,"2,4-D",12,85,4111.8,4111.8
321,321,"2,4-D",12,86,392.5,447.7
322,322,"2,4-D",12,87,0.3,0.3
323,323,"2,4-D",12,89,999,999
324,324,"2,4-D",12,91,1868,1868
325,325,"2,4-D",12,93,1097.5,1133.5
326,326,"2,4-D",12,95,5042.7,5050.4
