record_id,crop_id,district_id,soil_ph,soil_moisture,temperature_c,rainfall_mm,fertilizer_used,pesticide_usage,crop_yield,sustainability_score
1,1,1,7.073642685,49.14535876,26.66815662,227.8909122,131.6928438,2.958214628,1.576919924,51.91364942
2,2,2,6.236931178,21.49611539,29.32534237,244.0174933,136.3704916,19.20477029,3.824685657,47.15907682
3,3,3,5.922334985,19.46904233,17.66641427,141.1105208,99.72521025,11.04106564,1.133197626,50.14841841
4,4,4,6.845119842,27.97423366,17.1887222,156.7856634,194.8323964,8.806270973,8.87054037,89.76455695
5,5,5,6.934170572,33.63767886,23.60389898,77.85936216,57.27126667,3.74755349,8.779317423,51.03394071
6,6,6,6.133678816,15.94052981,30.45137755,296.6214987,96.48208665,3.268164822,2.043708172,23.02553366
7,7,7,7.406252116,41.55515223,25.7691606,54.34663988,159.2078947,13.67145932,6.177211062,88.86869782
8,8,8,7.020796377,35.17009772,22.71970303,292.3587912,180.4433682,18.56883966,5.218131637,44.01634435
9,9,9,5.533615205,12.66923557,15.34864837,183.9309877,191.5270106,3.23661513,7.801282071,80.16406771
10,10,10,6.273581603,13.35553391,23.03476008,199.6514943,58.52286049,13.67473311,6.221388077,82.92912016
11,11,11,6.326380001,38.01797506,16.22863319,260.0381936,147.5768712,4.271011156,2.270263939,45.2402235
12,12,12,5.947965077,31.58770445,26.60919749,136.1513352,181.7787958,17.49050345,2.847876691,92.39488825
13,13,13,5.903197474,33.81437633,15.21450131,141.2191099,185.5352887,14.81882628,9.944867741,50.69621138
14,14,14,6.62281514,43.58187369,25.84953504,146.9905701,66.17822107,8.239870535,1.965047052,6.437271506
15,15,15,6.482790628,28.45560657,20.16197555,81.30023001,75.3497294,9.359396963,5.320371374,90.84817382
16,16,16,7.054741218,19.65563771,27.96783233,148.6256197,112.5792762,1.859710994,2.393491374,69.96140262
17,17,17,5.973365494,42.70974103,26.57520461,66.206919,97.53434195,11.89559092,1.704859664,91.99243254
18,18,18,6.583093065,11.49824299,24.91873192,245.8916159,152.5383326,15.0497445,8.579189656,70.47337845
19,19,19,6.067465293,47.40177696,21.11402952,96.66830253,110.9285964,9.234577227,6.975590799,92.31143714
20,20,20,6.2573911,44.8943542,26.4948929,60.31937745,119.8332151,18.89456781,8.241526851,90.50510127
21,21,21,5.619689301,14.92308565,26.625861,173.9398903,153.4818606,1.420646862,7.067609961,82.11216129
22,22,22,6.447879714,21.06992292,31.9935067,99.72042966,164.8289706,2.274568487,6.221686083,92.19705237
23,23,23,6.702037515,37.37437714,19.08674455,218.7816394,96.34290092,11.46544104,4.424074829,4.00452252
24,24,24,6.312419075,45.17864068,34.57784721,276.1756967,101.1519854,18.76646921,1.043748992,14.1963005
25,25,25,6.911487641,33.80629095,28.11304901,139.2177351,83.84049382,2.432380592,6.875110176,50.64319775
26,26,26,6.209887992,43.24296918,30.25071918,220.6325291,132.0259992,18.33332243,7.619672245,85.31970721
27,27,27,7.410289573,34.68013432,31.82548472,87.33461302,72.55190765,5.514242041,5.98266841,54.66743906
28,28,28,5.667683835,21.95045888,29.99256113,93.5089567,122.436766,4.598193466,5.103918462,26.17599398
29,29,29,6.119470628,24.06966201,27.71522979,188.4264098,185.124051,16.71147658,5.608640582,5.660227738
30,30,30,6.025554524,17.41989945,26.84501106,91.51346796,149.7211291,14.84817448,9.772130234,38.13875132
31,31,31,6.984197957,25.17501877,20.18741846,82.08397182,92.87184751,16.28125073,4.087899553,9.990061249
32,32,32,6.438889458,40.83128932,24.93699112,101.6318226,123.8082467,15.12622261,5.222258178,70.20510523
33,33,33,6.668458142,49.44964407,16.86507832,204.7642674,122.9006442,14.60516754,9.899291442,40.04054119
34,34,34,6.992217185,17.49262016,18.30117642,52.80405473,182.5205626,16.39249701,3.377143531,0.365869214
35,35,35,5.889466248,28.93952623,26.95580337,61.83733597,146.8330588,13.89624658,2.173271759,91.40170135
36,36,36,6.194162192,40.63418481,16.6278805,242.3524342,170.2929392,17.33240665,2.954325988,63.1719518
37,37,37,6.630377684,18.5464848,27.1739653,101.0443889,167.5328258,18.46130275,8.886114513,18.46232066
38,38,38,6.604303827,38.89071558,31.47627157,114.757986,143.3471955,4.744370255,9.43842827,10.34311962
39,39,39,6.762115695,34.92040943,32.75999835,112.7519361,129.2629953,11.07622839,1.931973471,57.95016085
40,40,40,5.952814774,45.42323452,18.32561798,81.0458273,102.7247317,15.81826572,2.63544954,35.13248255
41,41,41,5.50736458,32.32721511,21.6808727,114.3757417,131.1728319,4.245162673,8.745016762,39.93539037
42,42,42,6.471150318,43.39406597,19.12319048,239.5788853,140.8490718,1.828828961,6.741602799,48.23349853
43,43,43,5.847089885,19.7090445,27.982159,178.1792016,142.47108,12.82575406,9.164376389,48.00832106
44,44,44,6.04025757,23.90923037,17.90767757,123.2083783,193.5023593,17.00003562,9.427226117,9.844795563
45,45,45,6.56497322,40.99512682,34.29615052,260.0265993,149.516917,15.68931691,3.034914277,61.48171293
46,46,46,6.544380457,33.57207731,34.00962211,283.2951966,156.3680995,9.819803043,4.883533555,90.83967446
47,47,47,6.233387815,49.3153368,29.78067167,100.2504161,168.0012417,10.82046801,1.598761592,3.286061682
48,48,48,6.246214135,26.03640974,28.64757851,113.3603291,142.2429875,19.81146231,4.284377418,49.35662748
49,49,49,6.445425337,10.29315507,32.12438486,114.4574074,155.7210652,5.118078476,5.059445239,65.39842656
50,50,50,6.391520697,26.72846464,30.69042417,121.9719278,113.4674167,19.59670594,2.980505285,0.707767409
51,51,51,6.312027928,17.56861818,30.69163835,87.3740458,104.914415,9.574661438,5.705556767,49.48347581
52,52,52,5.831170109,15.41489079,25.96503083,53.76514398,65.60814337,18.57211421,1.990727702,33.54380189
53,53,53,7.421686491,41.223372,20.03267655,247.4227212,143.6866315,3.179426896,7.728135299,29.96597216
54,54,54,6.457571747,36.60149045,16.9057857,167.4542305,143.2595732,16.51574185,9.411207661,10.45347005
55,55,55,6.570380206,21.81428993,22.76158794,142.6096754,171.1995124,5.706052099,8.132241258,72.70508093
56,56,56,6.513331614,46.09103081,29.93650414,112.0107088,187.1327446,15.6901475,6.313354151,20.12357234
57,57,57,6.249235147,15.89106362,15.10835354,119.2580312,129.9468493,12.57086448,5.649623291,36.53573292
58,58,58,6.137650555,24.29114578,27.78012627,203.9858784,84.44888971,16.93636534,4.409318011,30.9919608
59,59,59,6.096362341,21.84954562,33.5827884,207.9618614,183.0474835,6.641139854,5.752432213,11.1826072
60,60,60,6.881067673,42.81694336,30.92165585,167.9696922,111.4248682,11.32717778,5.739016651,0.37217775
61,61,61,7.434557839,11.25743637,33.17777921,110.0255173,125.9265085,8.833258683,6.899186246,22.96313296
62,62,62,6.825225542,11.18008761,26.35906956,125.0337499,194.667508,18.34378969,8.242753745,7.491252012
63,63,63,6.101398768,39.91815245,33.32882425,120.9000439,168.6427399,11.88389995,2.135888413,36.75794157
64,64,64,6.069699367,49.42787783,26.09550483,294.959557,127.9837701,8.621982751,8.934624411,25.20772348
65,65,65,6.204715219,42.02106532,21.07168042,211.005285,113.1444869,10.4694646,9.551663218,4.868117176
66,66,66,6.111860423,43.93707684,29.24318782,204.6586094,181.9198754,16.85569187,9.612049665,4.012827462
67,67,67,6.430205403,33.62868824,34.99051638,87.81992883,150.8529966,17.76306212,1.900574378,24.27641458
68,68,68,6.881089828,30.58957866,31.29241637,81.44440741,175.4959542,3.830851916,2.199667611,53.83989116
69,69,69,6.362456473,49.88545742,34.51645194,184.4372612,105.5974441,14.70691892,3.140149045,46.5024265
